commit_num,num_votes,num_yes_votes,perc_yes_votes
1,122,27,0.221311475
2,317,296,0.933753943
3,245,235,0.959183673
4,185,166,0.897297297
5,412,329,0.798543689
6,35,15,0.428571429
7,55,55,1
8,121,102,0.842975207
9,34,34,1
10,27,27,1
11,55,54,0.981818182
12,96,26,0.270833333
13,38,38,1
14,40,21,0.525
15,18,18,1
16,17,17,1
17,23,23,1
18,130,15,0.115384615
19,18,18,1
20,118,92,0.779661017
21,175,50,0.285714286
22,72,72,1
23,45,31,0.688888889
24,92,24,0.260869565
25,32,19,0.59375
26,521,3,0.005758157
27,20,20,1
28,20,19,0.95
29,218,18,0.082568807
30,84,24,0.285714286
31,46,19,0.413043478
32,35,14,0.4
33,81,81,1
34,24,24,1
35,31,30,0.967741935
36,44,44,1
37,32,32,1
38,25,25,1
39,85,85,1
40,19,19,1
41,30,29,0.966666667
42,54,52,0.962962963
43,59,22,0.372881356
44,25,25,1
45,162,161,0.99382716
46,24,21,0.875
47,69,66,0.956521739
48,21,21,1
49,5,3,0.6
50,34,17,0.5
51,4747,4728,0.995997472
52,60,20,0.333333333
53,57,25,0.438596491
54,48,24,0.5
55,51,30,0.588235294
56,81,48,0.592592593
57,39,17,0.435897436
58,44,16,0.363636364
59,65,22,0.338461538
60,46,10,0.217391304
61,31,0,0
62,107,17,0.158878505
63,54,13,0.240740741
64,68,26,0.382352941
65,77,30,0.38961039
66,64,20,0.3125
67,45,16,0.355555556
68,49,25,0.510204082
69,1,1,1
70,3,0,0
71,14,8,0.571428571
72,6,6,1
73,3,3,1
74,28,1,0.035714286
75,26,4,0.153846154
76,23,0,0
77,18,0,0
78,5,0,0
79,25,0,0
80,7,0,0
81,28,0,0
82,24,0,0
83,32,3,0.09375
84,7,0,0
85,9,0,0
86,1,0,0
87,21,17,0.80952381
88,26,0,0
89,10,0,0
90,1,1,1
91,4,4,1
92,3,3,1
93,34,34,1
94,2,0,0
95,112,0,0
96,6,6,1
97,26,26,1
98,1,1,1
99,263,0,0
100,346,0,0
101,49,0,0
102,13,0,0
103,60,60,1
104,23,23,1
105,78,77,0.987179487
106,4,1,0.25
107,24,20,0.833333333
108,74,0,0
109,182,1,0.005494505
110,388,0,0
111,78,0,0
112,247,0,0
113,217,0,0
114,25,0,0
115,51,0,0
116,164,0,0
117,180,0,0
118,178,1,0.005617978
119,185,0,0
120,184,6,0.032608696
121,164,0,0
122,169,0,0
123,198,0,0
124,175,0,0
125,168,0,0
126,169,0,0
127,124,0,0
128,21,0,0
129,63,0,0
130,9,1,0.111111111
131,9,2,0.222222222
132,46,1,0.02173913
133,42,14,0.333333333
134,39,32,0.820512821
135,9,1,0.111111111
136,38,8,0.210526316
137,21,1,0.047619048
138,1283,1277,0.995323461
139,1293,1102,0.852281516
140,534,68,0.127340824
141,14,14,1
142,66,66,1
143,91,91,1
144,72,70,0.972222222
145,142,102,0.718309859
146,141,139,0.985815603
147,1222,1195,0.977905074
148,49,46,0.93877551
149,47,47,1
150,355,308,0.867605634
151,123,61,0.495934959
152,75,63,0.84
153,280,139,0.496428571
154,135,113,0.837037037
155,263,173,0.657794677
