commit_num,num_votes,num_yes_votes,perc_yes_votes
1,5,5,1.0
2,42,42,1.0
3,301,301,1.0
4,303,303,1.0
5,389,381,0.9794344473007712
6,427,419,0.9812646370023419
7,483,475,0.9834368530020704
8,536,528,0.9850746268656716
9,642,634,0.9875389408099688
10,782,659,0.8427109974424553
11,831,705,0.8483754512635379
12,900,773,0.8588888888888889
13,963,819,0.8504672897196262
14,1041,874,0.8395773294908742
15,1056,886,0.8390151515151515
16,1089,918,0.8429752066115702
17,1122,949,0.8458110516934046
18,1137,961,0.8452066842568162
19,1151,975,0.8470894874022589
20,1171,993,0.8479931682322801
21,1592,1413,0.8875628140703518
22,1782,1602,0.898989898989899
23,1857,1674,0.901453957996769
24,2403,2220,0.9238451935081149
25,2442,2259,0.9250614250614251
26,2475,2292,0.926060606060606
27,2494,2311,0.9266238973536488
28,2859,2676,0.9359916054564533
29,2871,2687,0.9359108324625566
30,2886,2701,0.9358974358974359
31,2901,2715,0.9358841778697001
32,2912,2723,0.9350961538461539
33,2940,2749,0.9350340136054421
34,2977,2786,0.9358414511252939
35,3037,2845,0.936779716825815
36,3075,2881,0.936910569105691
37,3120,2925,0.9375
38,3185,2989,0.9384615384615385
39,3224,3027,0.9388957816377171
40,3235,3037,0.9387944358578053
41,3249,3047,0.9378270236995999
42,3278,3075,0.938071995118975
43,3293,3089,0.9380504099605224
44,3324,3117,0.9377256317689531
45,3333,3125,0.9375937593759376
46,3385,3176,0.9382570162481536
47,3391,3181,0.9380713653789443
48,3423,3213,0.9386503067484663
49,3489,3278,0.939524218973918
50,3512,3300,0.9396355353075171
51,3531,3318,0.9396771452846219
52,3583,3368,0.9399944180854033
53,3629,3411,0.9399283549187104
54,3913,3695,0.9442882698696652
55,4029,3809,0.9453958798709358
56,4076,3855,0.9457801766437685
57,4096,3873,0.945556640625
58,4128,3904,0.9457364341085271
59,4155,3930,0.9458483754512635
60,4185,3959,0.9459976105137395
61,4242,4013,0.946016030174446
62,4299,4069,0.9464991858571761
63,4328,4097,0.946626617375231
64,4354,4122,0.9467156637574644
65,4380,4147,0.9468036529680365
66,4411,4176,0.9467240988437996
67,4483,4248,0.9475797457060005
68,4782,4544,0.9502300292764534
69,4812,4573,0.950332502078138
70,4885,4644,0.9506653019447288
71,4933,4690,0.9507399148591121
72,4960,4717,0.9510080645161291
73,4992,4747,0.9509214743589743
74,5030,4782,0.9506958250497017
75,5070,4818,0.9502958579881656
76,5116,4861,0.9501563721657545
77,5154,4898,0.9503298409002716
78,5184,4928,0.9506172839506173
79,5217,4959,0.9505462909718229
80,5317,5056,0.9509121685160805
81,5370,5107,0.951024208566108
82,5412,5148,0.9512195121951219
83,5480,5215,0.9516423357664233
84,5491,5224,0.9513749772354763
85,5500,5231,0.9510909090909091
86,5550,5279,0.9511711711711712
87,5583,5311,0.9512806734730431
88,5647,5348,0.9470515317867895
89,5699,5398,0.9471837164414809
90,5724,5423,0.9474143955276031
91,5741,5439,0.9473959240550427
92,5771,5468,0.9474961011956333
93,5795,5491,0.9475409836065574
94,5824,5519,0.9476304945054945
95,5851,5544,0.9475303366945821
96,5889,5580,0.9475292919001528
97,5914,5604,0.9475820087926953
98,5939,5628,0.9476342818656339
99,5960,5647,0.9474832214765101
100,6025,5710,0.9477178423236514
101,6047,5730,0.9475773110633372
102,6080,5762,0.9476973684210527
103,6089,5770,0.9476104450648711
104,6100,5780,0.9475409836065574
105,6108,5787,0.9474459724950884
106,6118,5796,0.9473684210526315
107,6260,5854,0.9351437699680512
108,6281,5873,0.9350421907339596
109,6359,5948,0.9353671961000157
110,6367,5955,0.935291346002827
111,6383,5969,0.9351402161992793
112,6391,5977,0.9352214051009232
113,6399,5983,0.934989842162838
114,6410,5991,0.9346333853354134
115,6432,6012,0.9347014925373134
116,6446,6026,0.9348433136829041
117,6487,6066,0.9351009711731154
118,6493,6071,0.9350069305405821
119,6499,6076,0.9349130635482382
120,6512,6088,0.9348894348894349
121,6518,6093,0.9347959496778153
122,6526,6100,0.9347226478700582
123,6541,6114,0.9347194618559853
124,6549,6121,0.9346465109176973
125,6556,6127,0.9345637583892618
126,6572,6141,0.934418746195983
127,6579,6148,0.9344885240918073
128,6687,6255,0.9353970390309556
129,6696,6262,0.9351851851851852
130,6705,6269,0.9349739000745713
131,11027,10591,0.9604606874036457
132,11053,10615,0.9603727494797792
133,11065,10625,0.9602349751468595
134,11071,10630,0.9601661999819348
135,11127,10685,0.9602768041700368
136,11134,10692,0.9603017783366266
137,11150,10704,0.96
138,11165,10718,0.9599641737572772
139,11195,10746,0.9598928092898615
140,11209,10756,0.9595860469265769
141,11218,10764,0.9595293278659297
142,11264,10801,0.9588955965909091
143,11283,10817,0.9586989275901799
144,11309,10842,0.9587054558316385
145,11322,10852,0.9584878996643702
146,11332,10861,0.9584362866219556
147,11364,10889,0.9582013375571982
148,11378,10901,0.9580769906837757
149,11391,10912,0.9579492581862874
150,11408,10927,0.957836605890603
151,12594,12111,0.9616484040019057
152,12628,12143,0.9615932847640165
153,12640,12154,0.9615506329113924
154,12652,12164,0.9614290230793551
155,12668,12175,0.9610830438901168
156,12695,12198,0.9608507286333202
157,12729,12227,0.9605624950899521
158,12759,12252,0.9602633435222196
159,12793,12280,0.9598999452825764
160,12819,12301,0.9595912317653483
161,12851,12330,0.9594584079059996
162,12880,12356,0.9593167701863354
163,12908,12380,0.959095134800124
164,12935,12404,0.9589485890993429
165,12963,12430,0.9588829746200725
166,12994,12457,0.9586732338002155
167,13042,12502,0.9585953074681798
168,13068,12523,0.9582950719314356
169,13100,12552,0.9581679389312977
170,13126,12573,0.9578698765808319
171,13155,12599,0.9577347016343596
172,13178,12618,0.9575049324631962
173,13209,12644,0.9572261336967219
174,13228,12660,0.95706078016329
